state,pct_obama_2012,pct_romney_2012,pct_johnson_2012,pct_stein_2012,pct_other_2012,total_votes_2012
Alabama,0.38,0.61,0.01,0.00,0.00,2074338
Alaska,0.41,0.55,0.02,0.01,0.01,300495
Arizona,0.45,0.54,0.01,0.00,0.00,2299254
Arkansas,0.37,0.61,0.02,0.01,0.00,1069468
California,0.60,0.37,0.01,0.01,0.01,13038547
Colorado,0.51,0.46,0.01,0.00,0.01,2569520
Connecticut,0.58,0.41,0.01,0.00,0.00,1558960
Delaware,0.59,0.40,0.01,0.00,0.00,413921
DistrictofColumbia,0.91,0.07,0.01,0.01,0.00,293764
Florida,0.50,0.49,0.01,0.00,0.00,8474179
Georgia,0.45,0.53,0.01,0.00,0.00,3900050
Hawaii,0.71,0.28,0.01,0.01,0.00,434697
Idaho,0.33,0.65,0.01,0.01,0.01,652274
Illinois,0.58,0.41,0.01,0.01,0.00,5242014
Indiana,0.44,0.54,0.02,0.00,0.00,2624534
Iowa,0.52,0.46,0.01,0.00,0.01,1582180
Kansas,0.38,0.60,0.02,0.00,0.00,1159971
Kentucky,0.38,0.60,0.01,0.00,0.00,1797212
Louisiana,0.41,0.58,0.01,0.00,0.00,1994065
Maine,0.56,0.41,0.01,0.01,0.00,713180
Maryland,0.62,0.36,0.01,0.01,0.00,2707327
Massachusetts,0.61,0.38,0.01,0.01,0.00,3167767
Michigan,0.54,0.45,0.00,0.00,0.00,4730961
Minnesota,0.53,0.45,0.01,0.00,0.01,2936561
Mississippi,0.44,0.55,0.01,0.00,0.00,1285584
Missouri,0.44,0.54,0.02,0.00,0.00,2757323
Montana,0.42,0.55,0.03,0.00,0.00,484048
Nebraska,0.38,0.60,0.01,0.00,0.01,794379
Nevada,0.52,0.46,0.01,0.00,0.01,1014918
NewHampshire,0.52,0.46,0.01,0.00,0.00,710972
NewJersey,0.58,0.41,0.01,0.00,0.00,3640292
NewMexico,0.53,0.43,0.04,0.00,0.00,783758
NewYork,0.63,0.35,0.01,0.01,0.00,7081159
NorthCarolina,0.48,0.50,0.01,0.00,0.00,4505372
NorthDakota,0.39,0.58,0.02,0.00,0.01,322627
Ohio,0.51,0.48,0.01,0.00,0.00,5580847
Oklahoma,0.33,0.67,0.00,0.00,0.00,1334872
Oregon,0.54,0.42,0.01,0.01,0.01,1789270
Pennsylvania,0.52,0.47,0.01,0.00,0.00,5753670
RhodeIsland,0.63,0.35,0.01,0.01,0.01,446049
SouthCarolina,0.44,0.55,0.01,0.00,0.00,1964118
SouthDakota,0.40,0.58,0.02,0.00,0.01,363815
Tennessee,0.39,0.59,0.01,0.00,0.00,2458577
Texas,0.41,0.57,0.01,0.00,0.00,7993851
Utah,0.25,0.73,0.01,0.00,0.01,1017440
Vermont,0.67,0.31,0.01,0.00,0.01,299290
Virginia,0.51,0.47,0.01,0.00,0.01,3854489
Washington,0.56,0.41,0.01,0.01,0.01,3125516
WestVirginia,0.36,0.62,0.01,0.01,0.01,670438
Wisconsin,0.53,0.46,0.01,0.00,0.00,3068434
Wyoming,0.28,0.69,0.02,0.00,0.01,249061